code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
66700,ＭＣＪ,2026年３月期配当予想の修正（無配）及び株主優待制度の廃止に関するお知らせ,2026-02-05 22:30:00,,True,,,,,,,,,,,,,,,
64030,水道機工,2026年3月期 第3四半期決算短信〔日本基準〕（連結）,2026-02-05 22:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,20118000000,4007000000,429000000,916000000,158000000,37.02,28015000000,10457000000,,,,,,,
47220,フューチャー,2025年12月期決算短信〔日本基準〕（連結）,2026-02-05 18:30:00,"DurationPeriod(start_date=datetime.date(2024, 1, 1), end_date=datetime.date(2024, 12, 31))",True,75993000000,36987000000,16176000000,16672000000,11712000000,132.11,97491000000,62755000000,32800000000,,8664000000,-1391000000,-6885000000,0.198,
30540,ハイパー,通期業績予想の修正に関するお知らせ,2026-02-05 17:00:00,"DurationPeriod(start_date=datetime.date(2025, 1, 1), end_date=datetime.date(2025, 12, 31))",True,12409000000,,262000000,239000000,,22.66,,,,,,,,,
39390,カナミックＮ,2026年９月期 第１四半期決算短信〔日本基準〕(連結),2026-02-05 17:00:00,"DurationPeriod(start_date=datetime.date(2024, 10, 1), end_date=datetime.date(2024, 12, 31))",True,1478608000,981697000,460307000,462543000,305000000,6.44,6260000000,4635000000,,,,,,,
53910,Ａ＆Ａマテリアル,2026年３月期第３四半期決算短信〔日本基準〕(連結),2026-02-05 17:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,33748000000,7541000000,1010000000,943000000,944000000,123,43828000000,19314000000,,,,,,,
85840,ジャックス,2026年３月期 第３四半期決算短信〔日本基準〕(連結),2026-02-05 17:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,145817000000,,19221000000,19055000000,14593000000,376.12,3854997000000,292927000000,,,,,,,
72110,三菱自,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,2026-02-05 16:35:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,1976533000000,304111000000,31627000000,32588000000,-4489000000,-3.35,2324155000000,891872000000,,,,,,,
41070,伊勢化,2025年12月期 決算短信〔日本基準〕（連結）,2026-02-05 16:30:00,"DurationPeriod(start_date=datetime.date(2024, 1, 1), end_date=datetime.date(2024, 12, 31))",True,39258000000,12401000000,9484000000,9252000000,6498000000,127.52,51015000000,40070000000,4503000000,,7528000000,-6692000000,-2023000000,0.172,0.192
45540,富士製薬,2026年９月期　第１四半期決算短信〔日本基準〕（連結）,2026-02-05 16:30:00,"DurationPeriod(start_date=datetime.date(2024, 10, 1), end_date=datetime.date(2024, 12, 31))",True,15897000000,6818000000,2786000000,2653000000,324000000,13.28,95080000000,47944000000,,,,,,,
68670,リーダ電子,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,2026-02-05 16:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,2920950000,1888234000,-98487000,-16159000,-125000000,-36.54,5117000000,3374000000,,,,,,,
79550,クリナップ,2026年3月期第3四半期決算短信〔日本基準〕（連結）,2026-02-05 16:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,102041000000,33859000000,3958000000,4398000000,3076000000,85.32,97101000000,59539000000,21813000000,,4014000000,-1833000000,897000000,,
94010,ＴＢＳＨＤ,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,2026-02-05 16:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,319284000000,109863000000,24633000000,38523000000,55711000000,352.94,1548277000000,1116590000000,,,,,,,
91270,玉井商船,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,2026-02-05 16:10:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,3012733000,,355266000,335263000,224000000,116.17,13684000000,9529000000,,,,,,,
17930,大本組,2026年３月期 第３四半期決算短信〔日本基準〕(非連結),2026-02-05 16:00:00,,True,58597000000,6074000000,1528000000,1870000000,,46.69,94556000000,67492000000,,,,,,,
18980,世紀東急,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,2026-02-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,69848000000,9209000000,4513000000,4364000000,2987000000,81.56,82104000000,41805000000,,,,,,,
19090,日本ドライケミカル,2026年3月期 第３四半期決算短信〔日本基準〕(連結),2026-02-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,43007906000,12186782000,5965355000,6328106000,4105000000,612.54,53218000000,29926000000,,,,,,,
19260,ライト工,2026年3月期 第3四半期決算短信〔日本基準〕（連結）,2026-02-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,103520000000,21955000000,12428000000,12794000000,9045000000,207.91,123642000000,88377000000,,,,,,,
20010,ニップン,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,2026-02-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,317446000000,79736000000,17768000000,20631000000,15577000000,187.5,448097000000,273534000000,,,,,,,
21950,Ｇ－アミタＨＤ,業績予想の修正に関するお知らせ,2026-02-05 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 1, 1), end_date=datetime.date(2025, 12, 31))",True,4931000000,,473000000,557000000,423000000,24.11,,,,,,,,,
23170,システナ,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,2026-02-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,70063000000,18474000000,11563000000,12404000000,8603000000,24.07,53492000000,36891000000,25985000000,,7619000000,1186000000,-4303000000,,
24250,ケアサービス,2026年３月期第３四半期決算短信〔日本基準〕（非連結）,2026-02-05 16:00:00,,True,6967431000,664591000,73026000,121055000,,20.36,3934000000,2916000000,,,,,,,
30590,ヒラキ,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,2026-02-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,9108579000,4036427000,-144261000,-128112000,-199000000,-40.92,15157000000,6230000000,2400922000,,406649000,-935347000,249172000,,
32420,アーバネット,2026年６月期  第２四半期（中間期）決算短信〔日本基準〕（連結）,2026-02-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 7, 1), end_date=datetime.date(2024, 12, 31))",True,22304566000,5085457000,3258480000,2842353000,1907000000,52.49,69317000000,19687000000,13581354000,,-1472150000,-1334475000,4989213000,,
33260,ランシステム,2026年3月期　第３四半期決算短信〔日本基準〕（連結）,2026-02-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,4356665000,833068000,132560000,105258000,111000000,26.25,3807000000,331000000,,,,,,,
36360,三菱総研,2026年９月期 第１四半期決算短信〔日本基準〕(連結),2026-02-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 10, 1), end_date=datetime.date(2024, 12, 31))",True,30899000000,8432000000,3455000000,3857000000,2634000000,167.27,124187000000,73323000000,,,,,,,
36760,デジハＨＤ,2026年3月期 第3四半期決算短信〔日本基準〕(連結),2026-02-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,29087474000,7648267000,2341568000,2325928000,1422000000,63.79,22021000000,9672000000,,,,,,,
39370,Ｕｂｉｃｏｍ,2026年３月期第３四半期決算短信〔日本基準〕〔連結〕,2026-02-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,4420479000,1856403000,992027000,976393000,766000000,63.26,7694000000,5767000000,,,,,,,
44140,Ｇ－フレクト,2026年3月期 第3四半期決算短信〔日本基準〕（非連結）,2026-02-05 16:00:00,,True,5968783000,2803793000,791241000,790557000,,77.28,4543000000,3209000000,,,,,,,
45580,中京医薬,2026年３月期第3四半期決算短信〔日本基準〕（非連結）,2026-02-05 16:00:00,,True,5248945000,2970291000,298300000,310243000,,20.44,5487000000,2707000000,,,,,,,
