code,company_name,title,pubdate,text_path,word_path,word_count
54230,東製鉄,( 訂正・数値データ訂正) 「 2026 年３月期 決算短信〔日本基準〕（非連結）」の一部訂正について,2026-05-01 18:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\54230_( 訂正・数値データ訂正) 「 2026 年３月期 決算短信〔日本基準〕（非連結）」の一部訂正について.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\54230_( 訂正・数値データ訂正) 「 2026 年３月期 決算短信〔日本基準〕（非連結）」の一部訂正について_words.csv,2990
21480,ＩＴＭ,2026年３月期 決算短信〔ＩＦＲＳ〕（連結）,2026-05-01 17:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\21480_2026年３月期 決算短信〔ＩＦＲＳ〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\21480_2026年３月期 決算短信〔ＩＦＲＳ〕（連結）_words.csv,6732
99290,平和紙業,2026年３月期連結業績予想の修正に関するお知らせ,2026-05-01 17:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\99290_2026年３月期連結業績予想の修正に関するお知らせ.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\99290_2026年３月期連結業績予想の修正に関するお知らせ_words.csv,560
97990,旭情報,2026年3月期　決算短信〔日本基準〕（非連結）,2026-05-01 16:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\97990_2026年3月期　決算短信〔日本基準〕（非連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\97990_2026年3月期　決算短信〔日本基準〕（非連結）_words.csv,4664
25510,マルサンアイ,2026年９月期第２四半期（中間期）決算短信〔日本基準〕(連結),2026-05-01 16:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\25510_2026年９月期第２四半期（中間期）決算短信〔日本基準〕(連結).txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\25510_2026年９月期第２四半期（中間期）決算短信〔日本基準〕(連結)_words.csv,3444
25510,マルサンアイ,第２四半期（中間期）業績予想と実績値との差異及び通期業績予想の修正に関するお知らせ,2026-05-01 16:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\25510_第２四半期（中間期）業績予想と実績値との差異及び通期業績予想の修正に関するお知らせ.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\25510_第２四半期（中間期）業績予想と実績値との差異及び通期業績予想の修正に関するお知らせ_words.csv,948
64200,ガリレイ,2026年３月期決算短信〔日本基準〕（連結）,2026-05-01 16:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\64200_2026年３月期決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\64200_2026年３月期決算短信〔日本基準〕（連結）_words.csv,5309
82810,ゼビオＨＤ,特別損失の計上ならびに通期業績予想の修正に関するお知らせ,2026-05-01 16:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\82810_特別損失の計上ならびに通期業績予想の修正に関するお知らせ.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\82810_特別損失の計上ならびに通期業績予想の修正に関するお知らせ_words.csv,824
99500,ハチバン,2026年３月期 決算短信〔日本基準〕（連結）,2026-05-01 16:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\99500_2026年３月期 決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\99500_2026年３月期 決算短信〔日本基準〕（連結）_words.csv,6491
66320,ＪＶＣＫＷ,2026年３月期 決算短信〔IFRS〕（連結）,2026-05-01 15:45:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\66320_2026年３月期 決算短信〔IFRS〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\66320_2026年３月期 決算短信〔IFRS〕（連結）_words.csv,5307
42060,アイカ工,2026年３月期 決算短信〔日本基準〕（連結）,2026-05-01 15:40:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\42060_2026年３月期 決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\42060_2026年３月期 決算短信〔日本基準〕（連結）_words.csv,5630
24130,エムスリー,2026年３月期 決算短信 [IFRS]（連結）,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\24130_2026年３月期 決算短信 [IFRS]（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\24130_2026年３月期 決算短信 [IFRS]（連結）_words.csv,5536
24800,シスロケ,2026年３月期 決算短信〔日本基準〕（連結）,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\24800_2026年３月期 決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\24800_2026年３月期 決算短信〔日本基準〕（連結）_words.csv,3778
29070,あじかん,業績予想の修正に関するお知らせ,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\29070_業績予想の修正に関するお知らせ.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\29070_業績予想の修正に関するお知らせ_words.csv,922
299A0,Ｇ－クラシル,2026年３月期 決算短信〔日本基準〕(連結),2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\299A0_2026年３月期 決算短信〔日本基準〕(連結).txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\299A0_2026年３月期 決算短信〔日本基準〕(連結)_words.csv,2956
31770,ありがとうＳ,（訂正・数値データ訂正）「2026年２月期 決算短信〔日本基準〕（連結）」の一部訂正について,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\31770_（訂正・数値データ訂正）「2026年２月期 決算短信〔日本基準〕（連結）」の一部訂正について.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\31770_（訂正・数値データ訂正）「2026年２月期 決算短信〔日本基準〕（連結）」の一部訂正について_words.csv,2284
41070,伊勢化,2026年12月期 第1四半期決算短信〔日本基準〕（連結）,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\41070_2026年12月期 第1四半期決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\41070_2026年12月期 第1四半期決算短信〔日本基準〕（連結）_words.csv,2031
41200,スガイ化学工業,業績予想の修正および配当予想の修正（増配）に関するお知らせ,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\41200_業績予想の修正および配当予想の修正（増配）に関するお知らせ.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\41200_業績予想の修正および配当予想の修正（増配）に関するお知らせ_words.csv,2202
