code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
54230,東製鉄,( 訂正・数値データ訂正) 「 2026 年３月期 決算短信〔日本基準〕（非連結）」の一部訂正について,2026-05-01 18:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,268095000000,32072000000,7230000000,8632000000,,112.56,292995000000,222089000000,73470000000,,-3282000000,-10837000000,-8156000000,0.054,0.029
21480,ＩＴＭ,2026年３月期 決算短信〔ＩＦＲＳ〕（連結）,2026-05-01 17:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,8311834000,5099960000,1765000000,,1191000000,61.34,10546000000,,5936942000,,1366000000,54000000,-2046000000,0.132,0.167
99290,平和紙業,2026年３月期連結業績予想の修正に関するお知らせ,2026-05-01 17:00:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,16032000000,,142000000,206000000,117000000,12.37,,,,,,,,,
97990,旭情報,2026年3月期　決算短信〔日本基準〕（非連結）,2026-05-01 16:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,16548199000,3748260000,1645999000,1702079000,,82.37,15235000000,12180000000,5342779000,,1045000000,-867000000,-1032000000,0.107,0.114
25510,マルサンアイ,2026年９月期第２四半期（中間期）決算短信〔日本基準〕(連結),2026-05-01 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 9, 21), end_date=datetime.date(2025, 3, 20))",True,16121373000,4380331000,467272000,591205000,488000000,217.95,28096000000,7425000000,3287947000,,803506000,-1199748000,1325890000,,
25510,マルサンアイ,第２四半期（中間期）業績予想と実績値との差異及び通期業績予想の修正に関するお知らせ,2026-05-01 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 9, 21), end_date=datetime.date(2026, 3, 20))",True,16107000000,,380000000,364000000,,127.38,,,,,,,,,
64200,ガリレイ,2026年３月期決算短信〔日本基準〕（連結）,2026-05-01 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,138616000000,38629000000,17078000000,17943000000,12294000000,306.74,154438000000,113389000000,42451000000,,12088000000,-19089000000,-3544000000,0.114,0.121
82810,ゼビオＨＤ,特別損失の計上ならびに通期業績予想の修正に関するお知らせ,2026-05-01 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,250603000000,,7006000000,7618000000,,22.61,,,,,,,,,
99500,ハチバン,2026年３月期 決算短信〔日本基準〕（連結）,2026-05-01 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 3, 21), end_date=datetime.date(2025, 3, 20))",True,7730061000,2968044000,4653000,207542000,60000000,20.46,5608000000,3807000000,682082000,,359000000,-503000000,-212000000,0.016,0.037
66320,ＪＶＣＫＷ,2026年３月期 決算短信〔IFRS〕（連結）,2026-05-01 15:45:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,356865000000,110393000000,20540000000,,16787000000,115.21,347605000000,,65716000000,,33758000000,-22304000000,1761000000,0.125,0.066
42060,アイカ工,2026年３月期 決算短信〔日本基準〕（連結）,2026-05-01 15:40:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,251764000000,71236000000,29143000000,30136000000,18533000000,296.48,326435000000,190480000000,54606000000,,8776000000,-27474000000,10774000000,0.102,0.098
24130,エムスリー,2026年３月期 決算短信 [IFRS]（連結）,2026-05-01 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,351363000000,175844000000,73547000000,,49100000000,72.53,637396000000,,156177000000,,70262000000,-15890000000,-35471000000,0.125,0.125
24800,シスロケ,2026年３月期 決算短信〔日本基準〕（連結）,2026-05-01 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,1733471000,1383296000,604256000,639913000,297000000,84.19,4900000000,4044000000,889632000,,659000000,-1844000000,-133000000,0.077,0.138
29070,あじかん,業績予想の修正に関するお知らせ,2026-05-01 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,51045000000,,1964000000,2221000000,1548000000,203.52,,,,,,,,,
299A0,Ｇ－クラシル,2026年３月期 決算短信〔日本基準〕(連結),2026-05-01 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,17001320000,8055437000,3463148000,3507471000,2461000000,58.67,16919000000,13239000000,11599617000,,2869000000,-355000000,177000000,0.186,0.207
31770,ありがとうＳ,（訂正・数値データ訂正）「2026年２月期 決算短信〔日本基準〕（連結）」の一部訂正について,2026-05-01 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 3, 1), end_date=datetime.date(2026, 2, 28))",True,11398000000,,944000000,1033000000,492000000,533.84,6589000000,3415000000,,,1072000000,-290000000,-583000000,0.153,0.161
41070,伊勢化,2026年12月期 第1四半期決算短信〔日本基準〕（連結）,2026-05-01 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 1, 1), end_date=datetime.date(2025, 3, 31))",True,8813000000,2866000000,1959000000,1908000000,1326000000,26.02,48920000000,40416000000,,,,,,,
41200,スガイ化学工業,業績予想の修正および配当予想の修正（増配）に関するお知らせ,2026-05-01 15:30:00,,True,6622000000,,541000000,644000000,,277.96,,,,,,,,,
45650,ネクセラファーマ,2026年12月期第１四半期決算短信〔ＩＦＲＳ〕(連結),2026-05-01 15:30:00,"DurationPeriod(start_date=datetime.date(2026, 1, 1), end_date=datetime.date(2026, 3, 31))",True,11256000000,10137000000,3244000000,,1793000000,19.82,133338000000,,11597000000,,-1654000000,-5461000000,-1672000000,,
53670,ニッカトー,2026年3月期 決算短信〔日本基準〕（非連結）,2026-05-01 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,11340906000,2573913000,1071164000,1145829000,,64.9,18853000000,14137000000,4137970000,,1675000000,-710000000,-470000000,0.057,0.064
